duracao_incidente,equipamento_nome,equipamento_modelo,equipamento_grupo,turno,data_inicio,data_final,data,local_nome,secao,alarme_nome,alarme_codigo,alarme_level
70,AUTO-DISPLAYS,MULTICAL,MULTICAL,3,2024-10-22 20:00:07-04,2024-10-22 20:01:17-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,SIMTR_PUSH_DOWN_SENSOR,AL1000,Critical
97,Camera-Auto,SIMCOMBINED-C2,SIMCOMBINED-C2,3,2024-10-22 20:00:13-04,2024-10-22 20:01:50-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,SET INPUT CV TO LOAD CV TIME OUT,AL0013,Warning
43,AUTO-DISPLAYS,Camera_LCIA_HANDLER_V1,Camera_LCIA_HANDLER_V1,1,2024-10-22 20:00:15-04,2024-10-22 20:00:58-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,ROBOT TOOL RIGHT GRIP SET FAIL,AL0011,Critical
21,MULTICAL,Camera_LCIA_HANDLER_V1,Camera_LCIA_HANDLER_V1,1,2024-10-22 20:00:16-04,2024-10-22 20:00:37-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,RIGHT OUTPUT PTR GRIP CHECK TIMEOUT,AL23005,Critical
144,EFT,SIMCOMBINED-C2,SIMCOMBINED-C2,3,2024-10-22 20:00:17-04,2024-10-22 20:02:41-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,INPUT_PTR_GRIP_SENSOR,AL0012,Warning
124,MULTICAL,SET_WATERPROOF_V5.0,SET_WATERPROOF_V5.0,3,2024-10-22 20:00:20-04,2024-10-22 20:02:24-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,RIGHT OUTPUT PTR GRIP CHECK TIMEOUT,AL23005,Critical
65,Camera-Auto,Camera_LCIA_HANDLER_V1,Camera_LCIA_HANDLER_V1,3,2024-10-22 20:00:21-04,2024-10-22 20:01:26-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,SET INPUT CV TO LOAD CV TIME OUT,AL0013,Critical
174,MULTICAL,SIMCOMBINED-C2,SIMCOMBINED-C2,3,2024-10-22 20:00:29-04,2024-10-22 20:03:23-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,ROBOT TOOL RIGHT GRIP SET FAIL,AL0011,Critical
92,MULTICAL,SET_WATERPROOF_V5.0,SET_WATERPROOF_V5.0,1,2024-10-22 20:00:31-04,2024-10-22 20:02:03-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,InPP Gripper2 Head Down Fail,AL2011,Critical
28,Camera-Auto,AUTO_DISPLAY-SV1,AUTO_DISPLAY-SV1,1,2024-10-22 20:00:31-04,2024-10-22 20:00:59-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,RIGHT OUTPUT PTR GRIP CHECK TIMEOUT,AL23005,Warning
117,AUTO-DISPLAYS,SET_WATERPROOF_V5.0,SET_WATERPROOF_V5.0,3,2024-10-22 20:00:33-04,2024-10-22 20:02:30-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,InPP Gripper2 Head Down Fail,AL2011,Warning
82,MULTICAL,MULTICAL,MULTICAL,3,2024-10-22 20:00:36-04,2024-10-22 20:01:58-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,INPUT_PTR_GRIP_SENSOR,AL0012,Warning
114,EFT,SET_WATERPROOF_V5.0,SET_WATERPROOF_V5.0,1,2024-10-22 20:00:39-04,2024-10-22 20:02:33-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,SET INPUT CV TO LOAD CV TIME OUT,AL0013,Critical
45,AUTO-DISPLAYS,Camera_LCIA_HANDLER_V1,Camera_LCIA_HANDLER_V1,2,2024-10-22 20:00:40-04,2024-10-22 20:01:25-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,ROBOT TOOL RIGHT GRIP SET FAIL,AL0011,Critical
63,AUTO-DISPLAYS,MULTICAL,MULTICAL,3,2024-10-22 20:00:54-04,2024-10-22 20:01:57-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,SIMTR_PUSH_DOWN_SENSOR,AL1000,Critical
90,EFT,SET_WATERPROOF_V5.0,SET_WATERPROOF_V5.0,3,2024-10-22 20:00:57-04,2024-10-22 20:02:27-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,InPP Gripper2 Head Down Fail,AL2011,Warning
123,AUTO-DISPLAYS,AUTO_DISPLAY-SV1,AUTO_DISPLAY-SV1,3,2024-10-22 20:01:04-04,2024-10-22 20:03:07-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,InPP Gripper2 Head Down Fail,AL2011,Critical
148,EFT,AUTO_DISPLAY-SV1,AUTO_DISPLAY-SV1,1,2024-10-22 20:01:10-04,2024-10-22 20:03:38-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,INPUT_PTR_GRIP_SENSOR,AL0012,Critical
